"주차장관리번호",주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,데이터기준일자
252-2-000001,김윤기 가옥 근처 주차장1,공영,노외,,강원도 강릉시 노암동 302-7,15,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강릉시청 교통과,033-640-5624,37.7472512,128.9002964,2021-03-12
252-2-000002,김윤기 가옥 근처 주차장2,공영,노외,,강원도 강릉시 노암동 302-4,19,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강릉시청 교통과,033-640-5624,37.74710952,128.9032615,2021-03-12
252-2-000003,김윤기 가옥 근처 주차장3,공영,노외,,"강원도 강릉시 노암동 402-37, 402-36",26,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강릉시청 교통과,033-640-5624,37.74700365,128.903402,2021-03-12
252-2-000004,노암동 시영주택주차장,공영,노외,,강원도 강릉시 노암동 324-67,7,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강릉시청 교통과,033-640-5624,37.74995204,128.9003789,2021-03-12
252-2-000005,시영주택입구 주차장,공영,노외,,강원도 강릉시 노암동 279-18,7,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강릉시청 교통과,033-640-5624,37.7500382,128.8999939,2021-03-12
252-2-000006,은마 연립주택 근처 주차장,공영,노외,,강원도 강릉시 노암동 699-9,3,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강릉시청 교통과,033-640-5624,37.74677963,128.8977437,2021-03-12
252-2-000007,정동진역 공영주차장,공영,노외,,강원도 강릉시 강동면 정동진리 259-1,150,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강릉시청 교통과,033-640-5624,37.6893453197,129.0349564908,2021-03-12
252-2-000008,바다부채길 주차장,공영,노외,,강원도 강릉시 강동면 심곡리 69-5,90,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강릉시청 교통과,033-640-5624,37.663799,129.045679,2021-03-12
252-2-000009,7번국도 저탄장 주차장,공영,노외,,강원도 강릉시 강동면 정동진리 440-29,598,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강릉시청 교통과,033-640-5624,37.69621431,129.0257381,2021-03-12
252-2-000010,심곡 바다부채길 주차장,공영,노외,,강원도 강릉시 강동면 정동진리 50-33,11,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강릉시청 교통과,033-640-5624,37.68120738,129.0417394,2021-03-12
252-2-000011,심곡 바다부채길 주차장,공영,노외,,강원도 강릉시 강동면 정동진리 51-22,37,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강릉시청 교통과,033-640-5624,37.6807334578,129.0418432800,2021-03-12
252-2-000012,심곡 바다부채길 주차장,공영,노외,,강원도 강릉시 강동면 정동진리 51-4,12,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강릉시청 교통과,033-640-5624,37.6809411646,129.0415898678,2021-03-12
252-2-000013,심곡 바다부채길 주차장,공영,노외,,강원도 강릉시 강동면 정동진리 52-11,50,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강릉시청 교통과,033-640-5624,37.67981549,129.0423955,2021-03-12
252-2-000014,3.1 기념탑 주차장,공영,노외,,강원도 강릉시 저동 144-3,150,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강릉시청 교통과,033-640-5624,37.791779,128.8960708,2021-03-12
252-2-000015,전적비 주차장,공영,노외,,강원도 강릉시 안현동 94-145,84,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강릉시청 교통과,033-640-5624,37.80341428,128.9048579,2021-03-12
252-2-000016,경포 번영회 주차장,공영,노외,,강원도 강릉시 안현동 868-4,145,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강릉시청 교통과,033-640-5624,37.80209586,128.903524,2021-03-12
252-2-000017,경포대광장 주차장(충혼탑),공영,노외,,강원도 강릉시 저동 126-1,98,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강릉시청 교통과,033-640-5624,37.795805,128.896858,2021-03-12
252-2-000018,선교장 노외주차장,공영,노외,,강원도 강릉시 운정동 472-18,54,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강릉시청 교통과,033-640-5624,37.784995,128.884631,2021-03-12
252-2-000019,오죽헌박물관 뒷편 주차장,공영,노외,,강원도 강릉시 죽헌동 179-1,21,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강릉시청 교통과,033-640-5624,37.778914,128.876048,2021-03-12
252-2-000020,종합운동장 주차장,공영,노외,,강원도 강릉시 교동 2-10,490,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강릉시청 교통과,033-640-5624,37.77370501,128.8978333,2021-03-12
252-2-000021,강릉실내종합체육관 주차장,공영,노외,,강원도 강릉시 교동 2-21,176,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강릉시청 교통과,033-640-5624,37.7737239419,128.8925582539,2021-03-12
252-2-000022,강릉인라인스케이팅장 주차장,공영,노외,강원도 강릉시 교동 종합운동장길 72-25,강원도 강릉시 교동 369,95,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강릉시청 교통과,033-640-5624,37.7737239419,128.8925582539,2021-03-12
252-2-000023,관동교회 근처주차장,공영,노외,,강원도 강릉시 교동 987-7,5,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강릉시청 교통과,033-640-5624,37.756005,128.885921,2021-03-12
252-2-000024,관동중 맞은편,공영,노외,,강원도 강릉시 교동 1740-3,10,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강릉시청 교통과,033-640-5624,37.755724,128.881944,2021-03-12
252-2-000025,관동중 앞,공영,노외,,강원도 강릉시 교동 1429-6,9,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강릉시청 교통과,033-640-5624,37.75612756,128.8803618,2021-03-12
252-2-000026,구 터미널주차장,공영,노외,,강원도 강릉시 교동 156-35,292,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강릉시청 교통과,033-640-5624,37.7608460867,128.8976356859,2021-03-12
252-2-000027,기쁨교회부지 컬링경기장,공영,노외,,강원도 강릉시 교동 622,100,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강릉시청 교통과,033-640-5624,37.7750968005,128.8912078684,2021-03-12
252-2-000028,임당사거리 근처 주차장,공영,노외,,강원도 강릉시 교동 156-35,130,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강릉시청 교통과,033-640-5624,37.7608460867,128.8976356859,2021-03-12
252-2-000029,코레일네트웍스㈜강릉역주차장,공영,노외,,강원도 강릉시 교동 118,52,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강릉시청 교통과,033-640-5624,37.7645303701,128.8996632455,2021-03-12
252-2-000030,내곡교사거리 근처 주차장,공영,노외,,강원도 강릉시 내곡동 51-15,5,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강릉시청 교통과,033-640-5624,37.74625021,128.8884332,2021-03-12
252-2-000031,내곡동 현대A 앞 둔치주차장,공영,노외,,강원도 강릉시 내곡동 31,57,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강릉시청 교통과,033-640-5624,37.748273,128.891116,2021-03-12
252-2-000032,도시계획도로 임시 주차장1,공영,노외,,강원도 강릉시 내곡동 67-3,4,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강릉시청 교통과,033-640-5624,37.746424,128.8869094,2021-03-12
252-2-000033,도시계획도로 임시 주차장2,공영,노외,,강원도 강릉시 내곡동 51-48,2,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강릉시청 교통과,033-640-5624,37.746447,128.888988,2021-03-12
252-2-000034,무지개아파트 근처 주차장,공영,노외,,강원도 강릉시 내곡동 71-3,8,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강릉시청 교통과,033-640-5624,37.746259,128.890603,2021-03-12
252-2-000035,폴리텍III대학 입구,공영,노외,,강원도 강릉시 내곡동 산104,10,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강릉시청 교통과,033-640-5624,37.737071,128.888773,2021-03-12
252-2-000036,사천항 공영주차장,공영,노외,,강원도 강릉시 사천면 사천진리 86-141,100,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강릉시청 교통과,033-640-5624,37.8346852735,128.8748635,2021-03-12
252-2-000037,사천면 공영주차장,공영,노외,,강원도 강릉시 사천면 사천진리 86-185,60,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강릉시청 교통과,033-640-5624,37.83594791,128.8746885,2021-03-12
252-2-000038,사천 동해종합마트 근처,공영,노외,,강원도 강릉시 사천면 사천진리 29-12,25,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강릉시청 교통과,033-640-5624,37.838625,128.474734,2021-03-12
252-2-000039,사천진 보건진료소 근처주차장,공영,노외,,강원도 강릉시 사천면 사천진리 86-76,75,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강릉시청 교통과,033-640-5624,37.83712123,128.8746899,2021-03-12
252-2-000040,사천진리 해변길 주차장,공영,노외,,강원도 강릉시 사천면 사천진리 2-93,11,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강릉시청 교통과,033-640-5624,37.8375396486,128.8771897207,2021-03-12
252-2-000041,남항진항 해수욕장 주차장,공영,노외,,강원도 강릉시 남항진동 1-1,199,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강릉시청 교통과,033-640-5624,37.765551,128.952987,2021-03-12
252-2-000042,6주공오거리 근처 주차장1,공영,노외,,강원도 강릉시 입암동 95,82,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강릉시청 교통과,033-640-5624,37.761632,128.918058,2021-03-12
252-2-000043,6주공오거리 근처 주차장2,공영,노외,,강원도 강릉시 입암동 85-3,68,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강릉시청 교통과,033-640-5624,37.761673,128.917646,2021-03-12
252-2-000044,강릉중학교 근처 주택가 주차장,공영,노외,,강원도 강릉시 입암동 659-18,22,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강릉시청 교통과,033-640-5624,37.75226815,128.907637,2021-03-12
252-2-000045,구파출소 옆,공영,노외,,강원도 강릉시 입암동 679-30,12,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강릉시청 교통과,033-640-5624,37.755999,128.907707,2021-03-12
252-2-000046,성덕동 주민센터 근처주차장,공영,노외,,강원도 강릉시 입암동 599-6,26,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강릉시청 교통과,033-640-5624,37.76340537,128.9139187,2021-03-12
252-2-000047,성산교회 앞,공영,노외,,강원도 강릉시 성산면 구산리 243-1,29,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강릉시청 교통과,033-640-5624,37.716287,128.831079,2021-03-12
252-2-000048,소라B단지아파트 인근 주차장,공영,노외,,강원도 강릉시 송정동 212,7,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강릉시청 교통과,033-640-5624,37.776474,128.932176,2021-03-12
252-2-000049,송정풋살경기장,공영,노외,,강원도 강릉시 견소동 산2,25,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강릉시청 교통과,033-640-5624,37.77760408,128.9398468,2021-03-12
252-2-000050,송정해변 주차장,공영,노외,,강원도 강릉시 송정동 산60-3,100,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강릉시청 교통과,033-640-5624,37.77939109,128.9374533,2021-03-12
252-2-000051,안목사거리 근처 주차장,공영,노외,,강원도 강릉시 견소동 268-29,23,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강릉시청 교통과,033-640-5624,37.773426,128.945432,2021-03-12
252-2-000052,동덕 주차장,공영,노외,,강원도 강릉시 연곡면 동덕리 143-3,250,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강릉시청 교통과,033-640-5624,37.8580849321,128.8530211962,2021-03-12
252-2-000053,연곡면 주민센터앞 게이트볼장 부지,공영,노외,,강원도 강릉시 연곡면 방내리 31-1,50,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강릉시청 교통과,033-640-5624,37.8600387,128.835153,2021-03-12
252-2-000054,연곡2단지부영 근처 주차장,공영,노외,,강원도 강릉시 연곡면 영진리 357-125,5,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강릉시청 교통과,033-640-5624,37.87042593,128.8432604,2021-03-12
252-2-000055,금진항 주차장,공영,노외,,강원도 강릉시 옥계면 금진리 112,350,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강릉시청 교통과,033-640-5624,37.6538521,129.0481084,2021-03-12
252-2-000056,옥계성당 근처 주차장,공영,노외,,강원도 강릉시 옥계면 현내리 339-5,13,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강릉시청 교통과,033-640-5624,37.611305,129.0351505,2021-03-12
252-2-000057,고수부지공영주차장(새벽시장),공영,노외,,강원도 강릉시 옥천동 25-2,256,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강릉시청 교통과,033-640-5624,37.7561218,128.9025139,2021-03-12
252-2-000058,옥천동주차장(구여성회관),공영,노외,,강원도 강릉시 옥천동 224,82,1,미시행,평일+토요일+공휴일,10:00,18:00,00:00,23:59,00:00,23:59,혼합,30,500,10,200,,,75000,"현금, 카드, 주차권",,강릉시청 교통과,033-640-5624,37.75944344,128.901599,2021-03-12
252-2-000059,도시계획도로 임시 주차장3,공영,노외,,강원도 강릉시 주문진읍 교항리 292,10,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강릉시청 교통과,033-640-5624,37.8876340785,128.8235372003,2021-03-12
252-2-000060,소돌 소원(아들)바위 주차장,공영,노외,,강원도 강릉시 주문진읍 주문리 791-42,116,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강릉시청 교통과,033-640-5624,37.9047515191,128.8296937231,2021-03-12
252-2-000061,신리천 둔치 주차장,공영,노외,,강원도 강릉시 주문진읍 교항리 1252-14,144,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강릉시청 교통과,033-640-5624,37.88489631,128.8258758,2021-03-12
252-2-000062,주문진 터미널 오거리주차장,공영,노외,,강원도 강릉시 주문진읍 교항리 328-2,45,1,미시행,평일+토요일+공휴일,00:00,23:59,00:00,23:59,00:00,23:59,무료,0,0,0,0,,,,,,강릉시청 교통과,033-640-5624,37.8838061122,128.8241102957,2021-03-12
